property_type,inspections_opendate,inspections_closeddate,date_num,violation
Group Home (VO),2022-07-25,2024-06-23,41,0
Nursing Home,2023-02-04,2024-04-06,1580,1
Hotel & Motel,2023-03-26,2024-07-23,140,1
Group Home (VO),2020-10-25,2024-08-07,1405,1
Hospital,2020-10-25,2024-09-01,1438,0
Nursing Home,2021-05-07,2024-10-22,1413,1
Group Home,2024-10-11,2024-07-24,855,1
Group Home,2024-01-14,2024-08-18,1344,1
Group Home,2023-11-26,2024-07-19,1577,0
Rooming House,2022-03-18,2024-09-10,460,1
Residential Care,2022-03-12,2024-11-11,850,1
Rooming House,2022-09-20,2024-10-28,649,0
High Rise,2021-02-16,2024-05-23,1117,1
Rooming House,2020-08-28,2024-04-19,1514,0
Residential Care,2019-12-15,2024-10-04,429,1
Rooming House,2024-04-03,2024-06-12,1365,0
Group Home,2021-10-11,2024-05-18,1015,0
Nursing Home,2020-11-01,2024-07-31,576,1
Hotel & Motel,2023-01-30,2024-11-19,8,1
Low Rise,2020-08-01,2024-02-22,593,0
Low Rise,2022-08-06,2024-08-26,983,0
Hotel & Motel,2020-12-02,2024-04-13,730,1
Nursing Home,2024-05-07,2024-10-18,1562,1
Rooming House,2019-09-23,2024-08-07,683,1
Hospital,2020-12-27,2024-11-26,933,0
Nursing Home,2022-12-23,2024-02-22,1113,1
High Rise,2023-04-05,2024-11-14,418,1
Hotel & Motel,2019-09-06,2024-04-17,706,1
Detention,2022-07-20,2024-02-27,179,0
Low Rise,2021-10-15,2024-10-22,405,0
Hospital,2020-05-26,2024-09-22,1326,1
Residential Care,2022-04-26,2024-08-26,113,0
Rooming House,2024-01-23,2024-10-06,960,1
Residential Care,2024-02-25,2024-07-08,1126,1
Nursing Home,2021-12-15,2024-11-13,219,0
Hotel & Motel,2022-06-25,2024-09-30,527,0
Group Home (VO),2020-12-11,2024-03-09,685,1
Hotel & Motel,2024-05-10,2024-11-26,89,1
Group Home,2022-11-20,2024-04-20,1019,0
Group Home,2021-02-18,2024-04-30,751,0
Hotel & Motel,2024-09-18,2024-04-29,726,1
Detention,2020-12-09,2024-05-20,1147,1
Low Rise,2022-12-14,2024-03-28,1503,0
Residential Care,2023-10-27,2024-10-27,1082,1
Rooming House,2021-08-10,2024-08-28,1375,1
Hotel & Motel,2024-01-25,2024-07-08,560,1
Detention,2023-08-26,2024-04-23,1675,0
Nursing Home,2024-09-13,2024-04-16,167,0
Nursing Home,2022-02-28,2024-07-12,1557,0
Hospital,2022-03-05,2024-08-02,948,0
Hotel & Motel,2022-04-20,2024-02-21,350,1
Nursing Home,2023-10-20,2024-08-16,1619,1
Low Rise,2020-06-17,2024-03-02,874,0
High Rise,2022-11-15,2024-09-29,98,1
Group Home,2024-11-11,2024-05-28,108,0
Hotel & Motel,2022-03-13,2024-06-03,1425,1
Group Home,2020-03-09,2024-01-14,162,1
Rooming House,2020-06-28,2024-10-21,1031,0
Hotel & Motel,2021-07-06,2024-02-13,530,1
Group Home,2021-01-21,2024-04-25,839,1
Detention,2019-07-11,2024-03-26,1143,0
Low Rise,2024-02-20,2024-01-24,1343,1
Hospital,2023-02-16,2024-04-09,687,0
Low Rise,2023-05-09,2024-07-04,838,1
Group Home (VO),2022-01-01,2024-10-14,384,1
Group Home (VO),2021-09-08,2024-04-01,423,0
Group Home,2024-06-24,2024-10-12,362,1
Hotel & Motel,2024-09-28,2024-09-02,653,0
Detention,2020-10-09,2024-09-23,1067,1
Group Home,2023-05-22,2024-08-04,692,1
Rooming House,2021-06-28,2024-08-20,921,1
Residential Care,2023-05-20,2024-11-22,718,0
Detention,2022-08-31,2024-07-09,1485,0
Low Rise,2023-02-26,2024-02-05,627,0
Group Home (VO),2019-11-22,2024-11-25,1266,0
Nursing Home,2023-11-06,2024-09-26,77,0
Group Home (VO),2024-02-20,2024-06-05,1649,1
Residential Care,2023-11-14,2024-03-28,852,0
Group Home (VO),2020-07-09,2024-05-08,896,1
Hotel & Motel,2019-10-16,2024-01-19,1243,0
Group Home,2023-04-27,2024-09-11,1623,0
Hospital,2022-07-10,2024-10-04,360,1
Group Home (VO),2019-10-11,2024-10-30,553,0
Nursing Home,2019-07-14,2024-07-18,448,0
Group Home,2024-11-09,2024-02-18,718,0
Hotel & Motel,2021-11-23,2024-09-30,1082,0
Nursing Home,2019-08-30,2024-11-10,1363,0
Detention,2023-09-12,2024-11-08,898,0
Hospital,2024-10-13,2024-11-26,388,0
Group Home,2020-02-03,2024-05-13,263,0
Detention,2024-08-10,2024-07-19,1179,1
High Rise,2019-08-25,2024-02-28,1535,1
Rooming House,2020-04-11,2024-06-09,643,0
Nursing Home,2020-12-22,2024-02-19,885,0
Residential Care,2021-04-10,2024-05-28,1313,1
Detention,2019-08-20,2024-02-22,674,0
Low Rise,2022-03-06,2024-07-04,1117,0
Rooming House,2021-02-18,2024-06-03,810,1
Group Home,2022-10-09,2024-03-16,1660,0
Rooming House,2023-02-26,2024-07-17,1525,0
Nursing Home,2022-08-05,2024-09-26,1102,0
High Rise,2023-09-07,2024-11-14,436,0
Nursing Home,2023-04-28,2024-09-22,105,1
High Rise,2021-12-19,2024-05-09,864,1
Low Rise,2022-03-06,2024-06-22,13,0
High Rise,2020-12-23,2024-04-26,842,1
Detention,2020-02-16,2024-06-25,38,0
Hospital,2022-01-21,2024-06-11,1055,1
Residential Care,2023-02-27,2024-09-26,1220,1
Rooming House,2022-08-09,2024-06-30,310,1
Low Rise,2019-10-02,2024-01-06,575,0
Detention,2022-08-02,2024-04-25,1272,1
Nursing Home,2024-11-16,2024-03-09,903,1
High Rise,2019-07-11,2024-10-25,1354,0
Hotel & Motel,2020-07-23,2024-11-19,17,0
Residential Care,2023-03-01,2024-08-03,1613,0
High Rise,2020-12-11,2024-04-05,481,1
Rooming House,2021-09-22,2024-04-13,702,1
Detention,2023-06-11,2024-07-08,717,0
Rooming House,2020-11-08,2024-08-30,914,1
High Rise,2019-11-23,2024-09-16,1330,0
Rooming House,2024-10-07,2024-03-01,1513,0
Group Home,2021-09-22,2024-07-18,1213,1
Hospital,2023-08-25,2024-05-13,1123,0
Residential Care,2022-09-08,2024-07-16,1204,0
Nursing Home,2024-01-29,2024-01-05,1594,1
Group Home,2021-02-24,2024-07-07,1411,1
Hotel & Motel,2020-04-06,2024-01-22,915,1
High Rise,2020-08-01,2024-04-16,1247,0
Rooming House,2023-11-24,2024-04-21,146,1
Group Home (VO),2024-05-15,2024-03-24,1041,1
Rooming House,2021-06-01,2024-11-10,1099,0
High Rise,2024-09-21,2024-08-25,741,0
High Rise,2023-03-04,2024-08-09,1188,0
Nursing Home,2022-11-26,2024-02-03,561,0
Detention,2020-04-15,2024-06-20,1652,1
Detention,2023-11-18,2024-08-04,1060,0
Nursing Home,2021-12-19,2024-01-08,107,0
Low Rise,2023-05-27,2024-08-17,8,0
High Rise,2024-02-24,2024-05-11,1374,1
High Rise,2022-03-08,2024-09-03,328,0
Hotel & Motel,2020-11-28,2024-06-27,1380,1
Detention,2023-08-16,2024-02-08,1130,1
Group Home,2023-06-11,2024-04-28,672,1
Rooming House,2021-01-27,2024-01-07,377,1
Group Home,2020-06-02,2024-02-26,1432,0
Hotel & Motel,2020-03-28,2024-03-20,1386,1
Hospital,2020-01-15,2024-06-03,339,0
Rooming House,2024-04-11,2024-07-06,243,0
Group Home,2021-11-13,2024-03-16,939,1
Hotel & Motel,2021-02-16,2024-04-26,902,0
Detention,2023-11-07,2024-10-20,1374,1
Hospital,2021-12-19,2024-05-27,986,1
Low Rise,2022-06-29,2024-08-02,478,1
Nursing Home,2020-09-18,2024-10-02,1354,1
Detention,2022-07-29,2024-03-13,1665,1
Nursing Home,2024-01-18,2024-06-20,764,0
Group Home,2021-07-28,2024-02-06,1560,0
Detention,2022-02-14,2024-01-29,685,1
Rooming House,2021-08-30,2024-03-26,227,0
Detention,2019-09-15,2024-09-25,498,1
Nursing Home,2022-09-12,2024-01-17,88,0
Group Home,2024-02-09,2024-09-05,682,0
Nursing Home,2020-07-07,2024-11-17,1627,0
Hotel & Motel,2023-12-20,2024-08-25,88,0
Hotel & Motel,2024-10-17,2024-11-15,446,0
Group Home (VO),2024-01-10,2024-07-15,571,1
Rooming House,2020-05-14,2024-02-24,433,0
Group Home,2024-04-10,2024-02-21,1238,1
Group Home,2024-02-23,2024-11-10,575,1
Detention,2020-11-15,2024-11-20,1087,0
Low Rise,2024-09-27,2024-07-11,520,0
High Rise,2021-06-13,2024-03-07,989,0
High Rise,2020-11-21,2024-08-24,1317,0
Residential Care,2021-11-08,2024-08-28,1548,0
Group Home (VO),2022-04-01,2024-03-28,1235,1
Detention,2022-06-11,2024-01-12,897,1
High Rise,2023-02-25,2024-11-25,1110,0
High Rise,2019-10-26,2024-04-26,1668,0
Hospital,2020-03-10,2024-06-12,713,1
Nursing Home,2021-02-12,2024-04-23,744,1
Low Rise,2020-06-30,2024-08-15,1383,1
Hotel & Motel,2024-07-04,2024-08-28,1328,1
Detention,2023-11-24,2024-06-17,1146,0
Hotel & Motel,2019-07-24,2024-09-20,882,0
Residential Care,2024-10-21,2024-02-05,1319,1
Hospital,2023-04-13,2024-04-15,94,1
Residential Care,2020-04-07,2024-07-05,1311,0
Hotel & Motel,2022-12-22,2024-01-07,67,1
Hospital,2021-08-30,2024-08-05,1274,1
Group Home,2024-04-26,2024-09-29,1186,0
Residential Care,2021-05-13,2024-10-29,935,1
Nursing Home,2022-07-22,2024-03-09,1639,0
Nursing Home,2023-01-28,2024-03-26,104,1
Nursing Home,2019-09-09,2024-03-12,49,0
High Rise,2024-09-10,2024-03-01,446,1
Rooming House,2022-02-19,2024-10-20,89,0
Group Home (VO),2023-11-26,2024-07-24,483,0
High Rise,2022-08-30,2024-07-11,585,1
Low Rise,2024-06-01,2024-08-29,1145,0
Rooming House,2022-08-09,2024-10-11,1601,1
Hospital,2020-07-19,2024-10-15,415,1
Low Rise,2020-02-12,2024-07-16,1660,0
High Rise,2022-06-09,2024-02-22,502,0
Nursing Home,2022-01-26,2024-07-04,1486,1
Rooming House,2019-11-29,2024-06-25,438,0
Hospital,2023-09-24,2024-09-07,7,0
Hospital,2024-10-23,2024-05-05,607,1
Hotel & Motel,2019-09-28,2024-07-14,1010,0
Detention,2020-02-07,2024-09-23,1381,0
Group Home (VO),2024-04-26,2024-01-11,18,1
Group Home (VO),2020-11-30,2024-02-11,551,0
Nursing Home,2020-08-29,2024-05-27,1602,1
Group Home (VO),2020-02-12,2024-09-11,217,0
Group Home (VO),2020-07-31,2024-07-17,606,1
Low Rise,2023-01-10,2024-09-18,766,1
Low Rise,2024-11-19,2024-08-25,852,1
Hospital,2019-08-28,2024-02-24,749,1
Hotel & Motel,2022-10-06,2024-08-03,811,0
Residential Care,2022-04-06,2024-02-22,896,1
Residential Care,2020-10-13,2024-03-09,1111,1
High Rise,2021-07-05,2024-10-02,1550,0
Group Home,2022-04-15,2024-11-25,737,0
Hotel & Motel,2024-10-30,2024-01-02,315,1
Nursing Home,2021-01-19,2024-11-27,811,0
Residential Care,2021-12-11,2024-02-15,728,1
Low Rise,2021-05-03,2024-01-11,405,0
Group Home (VO),2022-02-05,2024-08-21,926,1
Residential Care,2019-10-31,2024-02-07,1208,1
Group Home,2020-03-05,2024-06-01,1045,0
Low Rise,2024-07-14,2024-07-20,1244,1
Hospital,2023-03-01,2024-11-09,1526,0
Rooming House,2019-10-13,2024-10-14,1110,0
Low Rise,2023-11-21,2024-01-29,717,0
Hospital,2021-05-21,2024-10-08,1377,1
Group Home (VO),2021-09-12,2024-02-27,171,0
Detention,2021-04-07,2024-06-17,1628,1
Group Home,2021-12-10,2024-09-28,1679,0
Group Home,2022-12-17,2024-04-26,1453,0
Residential Care,2021-11-08,2024-05-23,775,1
Residential Care,2019-08-22,2024-09-17,790,0
Low Rise,2022-12-01,2024-01-27,921,0
Group Home,2019-07-31,2024-03-29,294,1
High Rise,2024-10-23,2024-11-27,485,1
Group Home (VO),2022-02-28,2024-04-24,1347,1
Group Home (VO),2024-01-31,2024-08-03,1149,1
Group Home,2024-05-03,2024-05-21,714,0
Low Rise,2019-08-26,2024-03-05,331,0
Detention,2023-08-09,2024-06-21,658,1
Residential Care,2024-10-18,2024-09-30,1662,1
Hotel & Motel,2020-01-07,2024-01-20,143,0
Group Home (VO),2023-04-08,2024-10-19,637,0
Group Home,2024-04-27,2024-03-07,705,0
Hotel & Motel,2024-06-01,2024-09-24,536,0
Residential Care,2021-10-25,2024-03-14,676,0
Group Home,2023-07-01,2024-10-24,697,1
Group Home,2019-11-30,2024-04-22,826,1
Residential Care,2020-07-03,2024-09-08,527,1
Group Home,2019-09-08,2024-03-18,939,1
Residential Care,2020-09-02,2024-03-02,958,0
Hospital,2023-03-10,2024-08-28,793,1
Group Home,2023-12-01,2024-11-07,330,0
Nursing Home,2023-08-06,2024-04-10,571,1
Group Home,2024-07-03,2024-07-26,165,1
Hotel & Motel,2020-04-03,2024-02-11,1386,0
Nursing Home,2024-11-07,2024-04-12,698,0
Residential Care,2022-07-28,2024-07-05,1441,1
Hospital,2020-03-24,2024-08-21,1516,0
Group Home,2020-05-20,2024-11-20,82,1
Low Rise,2020-05-16,2024-01-26,779,0
High Rise,2023-10-31,2024-10-16,58,1
Low Rise,2021-08-19,2024-02-19,964,0
Group Home (VO),2021-12-31,2024-10-19,916,1
Hotel & Motel,2019-10-29,2024-05-23,697,0
Detention,2023-12-05,2024-08-30,1051,1
Group Home (VO),2022-07-20,2024-03-20,1181,1
Hotel & Motel,2021-01-17,2024-06-04,737,1
Residential Care,2020-03-05,2024-03-08,539,1
Hotel & Motel,2020-06-07,2024-03-29,897,1
Rooming House,2023-03-03,2024-09-01,1560,1
Group Home,2021-06-02,2024-06-27,221,0
High Rise,2023-09-07,2024-07-04,737,0
Hospital,2022-07-29,2024-10-22,970,0
Detention,2019-11-15,2024-05-03,1498,0
Group Home (VO),2021-03-02,2024-11-15,1100,0
High Rise,2023-09-06,2024-01-19,1511,0
Nursing Home,2020-08-15,2024-03-13,961,0
Low Rise,2024-06-04,2024-04-05,1629,0
Hospital,2023-09-17,2024-10-24,225,1
Group Home (VO),2019-08-19,2024-09-28,485,1
Low Rise,2023-06-16,2024-06-15,1158,1
Low Rise,2019-11-25,2024-10-15,489,0
Rooming House,2020-10-31,2024-07-06,1124,0
Group Home,2019-10-30,2024-03-02,1320,0
Nursing Home,2022-01-31,2024-03-17,1211,1
Hotel & Motel,2021-06-30,2024-05-01,520,0
Group Home (VO),2021-10-08,2024-04-27,33,0
Low Rise,2020-07-08,2024-06-21,173,1
High Rise,2023-08-16,2024-10-03,19,1
Group Home,2022-03-26,2024-02-24,396,0
Group Home,2023-01-13,2024-09-06,896,1
Rooming House,2020-04-15,2024-08-20,687,0
High Rise,2020-05-09,2024-05-09,1412,1
Group Home,2024-05-19,2024-05-20,506,0
Hospital,2022-09-04,2024-03-01,1373,1
Nursing Home,2024-04-13,2024-05-11,1633,1
Group Home,2023-12-28,2024-07-01,878,0
High Rise,2024-06-01,2024-11-07,120,0
High Rise,2020-05-11,2024-02-06,780,0
Hotel & Motel,2020-04-13,2024-04-21,1154,0
Residential Care,2024-09-03,2024-09-08,596,0
High Rise,2020-06-16,2024-01-07,67,0
Group Home (VO),2022-12-04,2024-09-28,742,0
Nursing Home,2023-03-27,2024-02-17,1459,0
High Rise,2023-03-04,2024-08-25,678,1
Low Rise,2019-10-01,2024-09-14,1531,0
Residential Care,2022-12-18,2024-06-28,1360,1
Hospital,2024-10-20,2024-06-06,1185,1
Residential Care,2019-07-14,2024-03-08,1200,0
Residential Care,2021-12-30,2024-02-04,511,1
High Rise,2022-03-10,2024-08-26,706,0
Rooming House,2022-12-30,2024-07-13,636,0
Low Rise,2021-12-25,2024-11-05,796,1
Nursing Home,2022-07-06,2024-02-26,360,1
Detention,2019-07-09,2024-10-12,879,1
Group Home (VO),2020-02-13,2024-10-06,1092,0
High Rise,2022-05-03,2024-10-06,1595,0
Hospital,2019-12-12,2024-07-07,631,1
High Rise,2019-10-03,2024-09-08,314,1
Detention,2024-03-18,2024-11-22,1110,0
Hospital,2021-05-24,2024-04-03,69,0
Nursing Home,2023-09-02,2024-09-14,1600,1
Group Home,2022-05-15,2024-04-20,84,0
Residential Care,2020-04-11,2024-04-02,144,0
Hotel & Motel,2022-09-10,2024-06-26,50,0
Hospital,2023-10-07,2024-08-09,279,0
Hotel & Motel,2022-03-06,2024-01-16,111,1
Detention,2021-05-07,2024-03-28,221,0
Residential Care,2020-09-20,2024-03-11,1410,1
Nursing Home,2023-05-30,2024-08-13,942,1
Rooming House,2021-06-24,2024-04-21,159,0
Residential Care,2020-11-28,2024-01-14,273,0
Rooming House,2022-02-25,2024-11-09,1199,0
High Rise,2022-11-27,2024-09-17,780,1
Low Rise,2023-09-13,2024-08-11,1668,1
Rooming House,2023-11-28,2024-01-27,1650,0
Group Home (VO),2020-08-15,2024-01-25,352,1
Group Home (VO),2020-03-20,2024-05-22,1149,0
Rooming House,2023-02-27,2024-10-29,116,0
Low Rise,2020-05-15,2024-02-20,1115,0
Group Home (VO),2023-07-07,2024-04-08,273,1
Nursing Home,2021-07-15,2024-02-23,927,1
Group Home (VO),2019-10-28,2024-02-06,662,0
Group Home,2022-12-19,2024-03-09,802,1
Hospital,2023-07-11,2024-09-23,187,0
Group Home (VO),2024-03-09,2024-02-09,243,0
Residential Care,2020-10-22,2024-10-31,744,1
Low Rise,2024-05-20,2024-07-24,155,0
Low Rise,2024-10-03,2024-09-26,729,1
High Rise,2020-06-27,2024-07-13,328,1
Rooming House,2020-03-09,2024-10-22,767,0
Detention,2021-07-10,2024-08-21,1608,1
Rooming House,2022-10-08,2024-04-17,918,1
Detention,2021-03-21,2024-05-24,1317,0
Nursing Home,2022-09-19,2024-11-28,478,1
Residential Care,2024-01-29,2024-04-19,1500,0
Hospital,2021-06-01,2024-02-16,546,0
Nursing Home,2022-11-03,2024-03-31,920,1
Group Home,2022-03-04,2024-08-10,1394,0
Detention,2019-09-04,2024-09-23,345,1
Residential Care,2020-10-20,2024-07-23,1407,1
Group Home (VO),2024-01-14,2024-09-25,257,0
Residential Care,2023-08-25,2024-11-23,494,0
High Rise,2022-10-09,2024-02-21,289,0
Hospital,2020-07-03,2024-04-10,1360,0
High Rise,2023-07-04,2024-04-02,1217,0
Nursing Home,2023-08-03,2024-09-04,1205,1
High Rise,2023-09-30,2024-09-23,344,1
Hospital,2023-06-09,2024-04-14,469,0
Group Home (VO),2021-01-09,2024-11-10,1161,1
Rooming House,2022-12-10,2024-06-11,751,1
Detention,2019-12-11,2024-09-27,614,1
Residential Care,2023-07-27,2024-06-20,1213,0
Hospital,2022-06-05,2024-02-06,21,0
Detention,2023-01-13,2024-09-14,1190,1
Detention,2020-06-27,2024-10-12,302,0
Residential Care,2023-09-15,2024-07-15,1608,1
Residential Care,2019-12-15,2024-06-07,1407,1
Nursing Home,2023-09-21,2024-05-26,354,0
Group Home,2022-09-18,2024-01-19,1096,0
Nursing Home,2024-03-31,2024-10-14,98,0
Hospital,2022-10-12,2024-05-07,519,1
Residential Care,2020-02-10,2024-11-21,234,0
Rooming House,2024-10-11,2024-02-10,1261,1
Detention,2024-04-09,2024-05-08,422,1
Low Rise,2024-09-20,2024-11-11,1380,0
Residential Care,2020-07-15,2024-05-26,1303,0
Low Rise,2019-09-08,2024-11-24,1516,0
Nursing Home,2023-08-25,2024-10-12,921,0
Residential Care,2021-12-31,2024-04-03,1241,0
High Rise,2023-09-13,2024-09-21,23,0
Hospital,2019-11-01,2024-05-15,535,1
Residential Care,2020-06-23,2024-07-04,1592,0
Group Home,2023-07-30,2024-11-23,624,0
Rooming House,2022-04-29,2024-02-11,776,1
Rooming House,2020-01-12,2024-09-01,448,0
High Rise,2022-10-04,2024-11-02,655,0
Residential Care,2024-08-15,2024-11-23,893,1
Nursing Home,2020-04-09,2024-10-04,1214,0
Hospital,2021-03-29,2024-08-12,344,0
Detention,2019-12-19,2024-07-12,1375,1
Hotel & Motel,2020-01-07,2024-06-23,607,1
Group Home,2021-01-18,2024-11-08,1428,0
High Rise,2022-09-19,2024-01-30,470,1
High Rise,2023-09-24,2024-01-15,1247,0
Hotel & Motel,2021-12-18,2024-09-29,990,1
Low Rise,2021-03-06,2024-04-28,1112,1
Low Rise,2024-06-25,2024-03-31,178,1
Detention,2021-10-03,2024-02-19,1011,0
Residential Care,2020-10-31,2024-02-22,741,1
Hospital,2024-07-24,2024-03-07,851,0
Detention,2021-04-15,2024-04-21,1375,1
Detention,2024-11-03,2024-04-14,542,1
Detention,2024-01-17,2024-07-24,130,1
Hospital,2019-11-28,2024-10-05,811,0
Nursing Home,2020-06-14,2024-08-01,258,0
Rooming House,2021-10-11,2024-03-17,855,1
Rooming House,2024-08-18,2024-11-25,1185,1
Detention,2020-11-03,2024-01-11,749,1
Low Rise,2020-05-01,2024-10-10,718,1
High Rise,2019-12-03,2024-06-14,1522,0
Detention,2023-02-12,2024-02-27,274,0
Group Home,2023-04-10,2024-02-17,914,0
Residential Care,2020-02-28,2024-07-30,1269,0
Group Home,2022-03-09,2024-03-08,1134,0
Low Rise,2023-05-23,2024-10-18,728,0
Detention,2024-04-27,2024-09-18,291,0
Rooming House,2023-04-23,2024-10-01,163,0
Detention,2023-08-26,2024-11-14,340,0
Residential Care,2019-07-18,2024-07-31,282,1
Nursing Home,2021-12-10,2024-01-20,991,0
Low Rise,2021-12-12,2024-05-18,1664,1
Residential Care,2021-06-16,2024-01-27,177,0
Hotel & Motel,2022-06-12,2024-03-30,623,0
Low Rise,2024-06-11,2024-03-03,1115,0
High Rise,2022-09-08,2024-09-22,1404,1
Group Home (VO),2019-09-21,2024-07-17,1009,1
Residential Care,2022-08-04,2024-01-27,74,0
Group Home,2024-03-24,2024-04-21,586,0
Hotel & Motel,2022-09-25,2024-03-10,681,1
Detention,2021-11-15,2024-03-19,656,1
Low Rise,2024-09-19,2024-11-15,1059,0
Detention,2020-09-09,2024-08-29,1361,1
Group Home (VO),2023-10-18,2024-02-03,1309,1
Rooming House,2023-05-26,2024-09-18,37,1
Rooming House,2022-07-21,2024-10-19,481,0
Detention,2020-12-16,2024-05-02,570,0
Group Home,2020-12-15,2024-02-03,68,1
Group Home,2021-06-27,2024-02-05,372,1
High Rise,2023-10-12,2024-01-08,314,0
Rooming House,2020-11-15,2024-07-28,1080,1
Nursing Home,2024-05-20,2024-10-20,1124,0
Detention,2023-12-13,2024-07-05,452,0
Hospital,2021-10-10,2024-05-05,1551,0
Rooming House,2022-11-30,2024-08-16,1268,1
Low Rise,2020-12-18,2024-06-15,1312,0
Nursing Home,2022-03-27,2024-08-19,1339,1
Hotel & Motel,2022-04-03,2024-05-18,13,1
Hospital,2022-03-24,2024-06-14,412,0
Group Home,2020-06-04,2024-06-20,605,0
High Rise,2020-05-06,2024-03-19,149,0
Low Rise,2022-06-23,2024-04-03,418,1
Nursing Home,2020-03-20,2024-05-15,757,1
Hospital,2021-07-27,2024-02-07,164,0
Nursing Home,2022-03-31,2024-03-21,820,1
Rooming House,2020-03-11,2024-04-21,656,0
High Rise,2020-09-04,2024-01-14,1055,1
Group Home (VO),2022-05-03,2024-11-19,919,1
Low Rise,2022-05-12,2024-09-20,1634,0
High Rise,2020-03-02,2024-05-08,1335,1
Detention,2023-06-02,2024-04-03,622,1
Detention,2021-05-03,2024-05-28,406,1
Hospital,2022-04-22,2024-04-21,76,1
High Rise,2023-02-27,2024-10-25,965,0
Nursing Home,2022-01-12,2024-08-03,1327,0
Detention,2023-02-25,2024-04-19,916,0
Nursing Home,2022-03-13,2024-11-05,1191,1
Detention,2024-06-18,2024-05-03,1672,1
Detention,2020-04-20,2024-07-18,769,0
Group Home,2023-07-12,2024-06-18,702,0
Hotel & Motel,2021-06-09,2024-05-13,479,0
Hotel & Motel,2022-05-24,2024-05-02,1238,1
Nursing Home,2020-05-11,2024-08-03,1265,0
Group Home,2022-08-11,2024-01-13,1440,1
Residential Care,2019-12-27,2024-02-09,1167,1
Nursing Home,2022-07-08,2024-06-11,257,1
Detention,2022-05-01,2024-07-06,1216,0
Rooming House,2023-08-23,2024-11-10,916,1
Low Rise,2023-10-02,2024-11-01,1008,0
Hospital,2020-04-02,2024-08-05,1000,1
Group Home (VO),2021-08-01,2024-03-27,896,0
Hotel & Motel,2021-12-12,2024-03-25,1199,1
Hospital,2024-01-20,2024-04-09,1530,0
Rooming House,2022-08-20,2024-09-08,1099,1
Rooming House,2022-06-27,2024-01-04,891,1
High Rise,2021-02-08,2024-10-16,642,1
Rooming House,2024-07-08,2024-06-05,201,1
Rooming House,2022-02-27,2024-08-22,648,0
Group Home (VO),2024-07-14,2024-11-17,469,0
Hospital,2022-01-31,2024-08-19,617,0
Rooming House,2020-02-03,2024-11-22,411,1
Group Home,2019-11-18,2024-06-09,1131,0
Hospital,2019-10-03,2024-06-11,531,1
Hotel & Motel,2022-12-05,2024-06-19,1434,0
Hospital,2019-07-24,2024-10-26,249,1
Detention,2021-07-10,2024-06-05,408,0
Residential Care,2020-01-29,2024-11-19,1469,0
Hospital,2023-01-23,2024-07-30,1677,0
High Rise,2022-04-06,2024-02-08,1550,0
Hotel & Motel,2023-04-23,2024-04-14,1326,0
Hospital,2021-12-12,2024-04-16,266,0
Detention,2023-10-30,2024-05-05,541,1
Nursing Home,2023-12-11,2024-08-14,253,1
Nursing Home,2020-10-08,2024-03-08,1072,0
Residential Care,2021-05-29,2024-07-08,983,1
Group Home (VO),2022-12-10,2024-07-28,608,1
Group Home,2021-10-17,2024-01-20,1022,0
Residential Care,2022-12-20,2024-11-20,181,1
Low Rise,2022-07-27,2024-06-06,101,1
Low Rise,2022-08-22,2024-08-16,245,0
Residential Care,2020-01-24,2024-10-19,792,0
Hospital,2023-09-25,2024-07-17,47,0
Rooming House,2023-12-08,2024-01-12,1223,0
Group Home,2022-06-27,2024-08-19,446,1
Rooming House,2021-12-04,2024-01-05,718,0
Group Home,2022-07-01,2024-03-19,856,1
Group Home (VO),2024-01-10,2024-09-11,561,0
Residential Care,2019-11-12,2024-10-17,272,1
Residential Care,2021-09-16,2024-11-21,503,0
Hospital,2024-11-10,2024-02-01,246,1
Hospital,2021-12-22,2024-04-06,571,0
Group Home,2020-10-13,2024-06-05,1047,0
Hospital,2024-10-02,2024-08-07,1484,1
Hospital,2023-12-27,2024-05-17,1461,0
Low Rise,2021-02-04,2024-03-05,1077,0
Detention,2022-01-25,2024-04-16,669,0
Detention,2020-12-06,2024-10-06,1296,0
High Rise,2024-05-21,2024-08-30,24,0
High Rise,2019-11-21,2024-05-06,542,0
Residential Care,2022-07-07,2024-07-16,136,0
Low Rise,2022-11-10,2024-05-28,407,0
Low Rise,2024-05-14,2024-05-06,637,1
High Rise,2021-04-21,2024-09-29,431,1
Rooming House,2021-09-16,2024-01-12,1525,1
Hospital,2020-01-03,2024-08-11,919,1
High Rise,2023-06-22,2024-06-15,531,0
Rooming House,2020-12-21,2024-04-29,337,1
Residential Care,2021-04-05,2024-11-04,1593,0
Detention,2021-02-17,2024-10-03,284,1
Nursing Home,2020-05-25,2024-01-07,1653,0
Rooming House,2022-02-10,2024-10-31,496,0
Group Home (VO),2022-10-06,2024-09-08,392,0
Group Home (VO),2020-11-25,2024-11-12,1569,0
Residential Care,2021-08-11,2024-07-07,1176,1
Residential Care,2021-03-26,2024-04-07,1052,0
Group Home (VO),2022-04-14,2024-02-11,224,1
Nursing Home,2024-03-22,2024-10-16,57,0
Nursing Home,2023-07-12,2024-05-19,308,1
Hotel & Motel,2022-04-25,2024-10-17,1017,0
Group Home (VO),2022-04-16,2024-06-02,1196,1
Low Rise,2022-01-15,2024-11-19,194,0
Hospital,2021-03-01,2024-06-08,744,1
